id_venta,fecha,id_cliente,id_producto,id_tienda,id_promocion,cantidad,precio_unitario,descuento,importe,costo_total,margen
17504,2025-10-12,2235,253,13,38,3,143.04,20.0,343.3,274.02,69.28
46116,2025-12-25,4031,426,4,0,1,346.19,0.0,346.19,242.97,103.22
59784,2024-08-27,4363,194,8,0,2,475.39,0.0,950.78,553.02,397.76
11462,2024-12-19,2934,426,10,5,2,313.4,30.0,438.76,485.94,-47.18
50030,2024-05-11,1351,46,3,0,1,536.19,0.0,536.19,366.2,169.99
39611,2025-05-16,4503,406,1,0,2,2496.84,0.0,4993.68,3126.1,1867.58
57352,2024-11-19,4227,373,11,0,1,314.79,0.0,314.79,200.29,114.5
55900,2024-03-28,1783,180,13,0,1,5083.54,0.0,5083.54,3621.93,1461.61
40638,2025-12-03,1572,208,9,11,2,1689.5,35.0,2196.35,2264.76,-68.41
23240,2025-03-16,2134,208,14,0,2,1888.12,0.0,3776.24,2264.76,1511.48
29725,2024-12-09,502,333,9,5,1,4357.16,30.0,3050.01,2659.84,390.17
22518,2024-02-02,4037,208,7,0,1,1861.4,0.0,1861.4,1132.38,729.02
25316,2024-02-27,2621,435,14,34,1,319.05,20.0,255.24,188.77,66.47
31632,2025-10-19,1949,232,13,9,1,703.17,10.0,632.85,469.15,163.7
44183,2024-09-28,4539,435,14,0,1,299.0,0.0,299.0,188.77,110.23
40755,2025-10-23,4163,147,13,21,1,272.95,10.0,245.66,169.94,75.72
56083,2024-12-17,1743,486,9,5,2,200.72,30.0,281.01,316.66,-35.65
33595,2024-03-17,6,156,12,0,3,382.0,0.0,1146.0,823.44,322.56
40885,2024-06-14,4525,153,13,0,1,1340.21,0.0,1340.21,933.08,407.13
28856,2024-04-20,2071,412,2,0,1,130.73,0.0,130.73,72.88,57.85
26057,2025-03-29,3639,426,10,22,1,362.57,25.0,271.93,242.97,28.96
36691,2024-10-17,2557,435,5,3,1,284.78,20.0,227.82,188.77,39.05
39362,2024-03-20,4238,417,4,1,1,693.0,10.0,623.7,522.75,100.95
12895,2024-11-05,1601,435,3,0,2,325.11,0.0,650.22,377.54,272.68
52202,2025-12-22,3045,253,5,11,1,139.59,35.0,90.73,91.34,-0.61
19133,2025-12-16,694,202,15,11,1,163.4,35.0,106.21,106.83,-0.62
13720,2024-12-26,2766,253,13,0,1,130.86,0.0,130.86,91.34,39.52
6436,2025-11-17,3738,191,12,0,2,138.91,0.0,277.82,171.22,106.6
23183,2025-10-08,1780,342,6,38,1,3501.27,20.0,2801.02,2565.29,235.73
46787,2024-11-19,2014,342,5,0,1,3543.34,0.0,3543.34,2565.29,978.05
8386,2025-11-09,3395,194,10,0,1,445.37,0.0,445.37,276.51,168.86
44935,2024-10-28,2517,491,7,0,1,1182.63,0.0,1182.63,690.44,492.19
477,2025-10-09,447,435,13,38,2,298.2,20.0,477.12,377.54,99.58
7380,2024-11-23,4858,9,5,4,1,1471.88,15.0,1251.1,1072.99,178.11
7111,2025-10-23,4701,208,5,21,1,1733.24,10.0,1559.92,1132.38,427.54
31555,2025-04-15,1071,360,4,0,2,389.32,0.0,778.64,431.22,347.42
40044,2024-12-07,2557,375,2,5,1,839.54,30.0,587.68,623.12,-35.44
44997,2024-09-08,1601,208,14,0,1,1838.16,0.0,1838.16,1132.38,705.78
47576,2024-10-05,1802,180,4,0,2,4647.89,0.0,9295.78,7243.86,2051.92
45450,2024-09-02,2188,460,2,19,2,412.18,15.0,700.71,447.3,253.41
56711,2025-12-22,3683,101,13,11,2,762.84,0.0,1525.68,794.18,731.5
39743,2025-12-07,4263,452,13,11,1,2103.63,35.0,1367.36,1318.52,48.84
4266,2024-03-23,2669,349,13,1,1,967.47,10.0,870.72,565.9,304.82
55893,2025-08-14,2515,417,9,0,1,752.17,0.0,752.17,522.75,229.42
2531,2024-05-11,2045,180,15,0,2,4578.62,0.0,9157.24,7243.86,1913.38
34180,2024-12-28,3388,9,10,0,1,1353.27,0.0,1353.27,1072.99,280.28
36226,2024-11-26,473,435,9,4,1,296.59,15.0,252.1,188.77,63.33
32846,2024-01-20,2821,332,6,33,1,948.6,10.0,853.74,713.43,140.31
30245,2025-04-29,447,426,12,0,2,330.48,0.0,660.96,485.94,175.02
59801,2025-12-30,1601,9,13,0,1,1332.3,0.0,1332.3,1072.99,259.31
25832,2025-12-28,4524,153,14,0,1,1420.47,0.0,1420.47,933.08,487.39
27048,2024-11-30,275,153,12,0,1,1564.61,0.0,1564.61,933.08,631.53
36141,2024-04-01,1601,194,8,2,1,432.25,20.0,345.8,276.51,69.29
11477,2025-05-15,3643,97,15,0,2,1253.59,0.0,2507.18,1895.78,611.4
55834,2025-09-13,2311,452,13,0,1,2390.6,0.0,2390.6,1318.52,1072.08
40968,2024-08-20,1970,305,6,0,1,693.71,0.0,693.71,463.78,229.93
6921,2025-10-10,3944,429,15,38,2,2049.13,20.0,3278.61,2130.48,1148.13
18798,2025-09-30,3172,435,14,28,1,326.2,10.0,293.58,188.77,104.81
31476,2024-05-03,3259,99,8,0,1,72.71,0.0,72.71,43.07,29.64
49783,2024-09-22,4702,9,4,13,2,1447.08,10.0,2604.74,2145.98,458.76
26007,2024-12-20,2876,46,9,5,1,608.11,30.0,425.68,366.2,59.48
49818,2024-02-20,956,208,3,34,1,1886.47,20.0,1509.18,1132.38,376.8
48132,2024-11-06,756,253,11,0,2,143.83,0.0,287.66,182.68,104.98
52691,2024-03-01,3361,230,6,0,1,253.97,0.0,253.97,195.54,58.43
15745,2025-02-26,3683,426,6,40,3,321.52,0.0,964.56,728.91,235.65
7830,2024-05-26,1071,23,13,0,2,274.74,0.0,549.48,461.84,87.64
1867,2025-10-22,2909,132,6,0,1,224.1,0.0,224.1,166.71,57.39
34348,2025-05-05,1216,97,6,0,1,1249.79,0.0,1249.79,947.89,301.9
26080,2025-07-28,1027,395,3,12,1,2051.69,35.0,1333.6,1202.72,130.88
21318,2025-03-16,929,208,12,0,2,1884.81,0.0,3769.62,2264.76,1504.86
20037,2024-02-13,3705,46,5,0,453,588.22,0.0,266463.66,165888.6,100575.06
32811,2024-11-22,1010,111,14,4,1,166.73,15.0,141.72,101.78,39.94
11437,2024-12-18,4250,429,15,5,3,1851.42,30.0,3887.98,3195.72,692.26
49178,2024-07-09,4478,136,10,24,1,210.71,15.0,179.1,139.48,39.62
24578,2024-12-03,3672,90,14,5,1,72.13,30.0,50.49,45.99,4.5
52910,2024-12-13,2728,305,8,5,1,704.48,30.0,493.14,463.78,29.36
24881,2024-04-27,3591,90,11,0,1,72.92,0.0,72.92,45.99,26.93
33959,2025-08-25,2292,289,6,0,1,4921.3,0.0,4921.3,3467.55,1453.75
4022,2024-03-23,801,159,8,1,3,4220.9,10.0,11396.43,9797.19,1599.24
51442,2024-01-08,2192,100,4,18,2,2594.99,35.0,3373.49,4268.36,-894.87
24831,2025-11-05,3659,388,10,0,1,512.08,0.0,512.08,270.33,241.75
37603,2025-01-29,4620,277,15,0,1,3902.38,0.0,3902.38,2407.28,1495.1
10884,2025-09-23,2754,201,13,0,1,2244.46,0.0,2244.46,1414.45,830.01
26431,2024-02-09,623,253,8,0,1,129.34,0.0,129.34,91.34,38.0
55580,2025-01-25,2517,40,9,0,3,853.87,0.0,2561.61,1619.31,942.3
46533,2024-01-31,3472,9,3,0,2,1457.41,0.0,2914.82,2145.98,768.84
37681,2025-12-25,3443,99,6,0,1,77.55,0.0,77.55,43.07,34.48
51553,2025-08-26,3401,97,7,0,3,1439.14,0.0,4317.42,2843.67,1473.75
54881,2025-01-18,3051,497,13,0,1,1677.23,0.0,1677.23,1399.51,277.72
34947,2024-10-10,1753,217,9,0,2,3250.54,0.0,6501.08,4369.34,2131.74
32905,2025-12-12,1359,329,10,11,1,71.83,35.0,46.69,60.26,-13.57
9463,2024-10-27,4322,208,3,0,1,1895.56,0.0,1895.56,1132.38,763.18
18989,2025-11-21,4082,3,15,10,1,4823.06,10.0,4340.75,3691.27,649.48
6936,2025-08-04,428,201,13,15,1,2098.93,0.0,2098.93,1414.45,684.48
11672,2025-04-07,1241,162,15,8,1,158.7,40.0,95.22,110.9,-15.68
13981,2024-04-28,1718,342,12,0,1,3981.6,0.0,3981.6,2565.29,1416.31
19662,2024-12-03,1822,342,12,5,1,3569.58,30.0,2498.71,2565.29,-66.58
51284,2024-09-07,447,9,15,0,1,1256.58,0.0,1256.58,1072.99,183.59
53418,2025-04-16,2744,208,4,0,1,1709.42,0.0,1709.42,1132.38,577.04
58045,2024-09-25,2971,291,13,0,1,108.2,0.0,108.2,83.35,24.85
37612,2024-12-21,5000,342,1,5,1,4000.41,30.0,2800.29,2565.29,235.0
28119,2024-03-10,447,9,13,0,1,1257.4,0.0,1257.4,1072.99,184.41
24158,2025-12-15,3830,181,14,11,1,104.98,35.0,68.24,74.86,-6.62
17355,2024-12-25,3039,342,11,0,1,3551.39,0.0,3551.39,2565.29,986.1
42015,2025-03-21,3797,171,7,7,2,725.38,25.0,1088.07,988.88,99.19
53884,2025-12-02,641,66,3,11,1,613.2,35.0,398.58,340.16,58.42
35621,2024-03-23,4081,354,10,1,1,3149.94,10.0,2834.95,2474.12,360.83
37646,2024-12-08,1438,202,6,5,1,181.63,30.0,127.14,106.83,20.31
3027,2024-12-17,4160,33,10,5,1,938.32,30.0,656.82,598.95,57.87
9646,2024-12-04,3955,171,15,5,2,704.38,30.0,986.13,988.88,-2.75
29181,2024-12-31,3256,465,15,0,1,129.59,0.0,129.59,80.65,48.94
30971,2024-09-02,2554,208,13,19,1,1929.24,15.0,1639.85,1132.38,507.47
7570,2025-01-19,1867,50,7,0,2,5516.03,0.0,11032.06,6497.52,4534.54
16225,2025-07-11,769,217,6,0,1,3090.69,0.0,3090.69,2184.67,906.02
55549,2025-10-27,4935,460,4,0,1,370.36,0.0,370.36,223.65,146.71
11114,2024-08-29,2780,101,13,0,1,662.91,0.0,662.91,397.09,265.82
18873,2024-02-12,2936,99,2,0,1,76.36,0.0,76.36,43.07,33.29
42853,2025-09-22,447,208,11,20,1,1708.42,35.0,1110.47,1132.38,-21.91
41167,2024-11-15,954,426,12,23,1,330.2,20.0,264.16,242.97,21.19
57583,2025-04-15,167,84,10,0,1,586.25,0.0,586.25,317.74,268.51
42758,2024-08-20,2274,178,10,0,1,704.58,0.0,704.58,385.03,319.55
38622,2025-05-02,3045,99,4,0,1,76.3,0.0,76.3,43.07,33.23
43045,2024-06-30,4921,67,14,0,1,1445.17,0.0,1445.17,1077.51,367.66
38853,2024-02-14,167,46,14,0,1,589.81,0.0,589.81,366.2,223.61
54100,2024-04-07,4219,353,5,2,3,561.62,20.0,1347.89,1253.52,94.37
27992,2024-06-15,1251,417,13,0,1,770.27,0.0,770.27,522.75,247.52
19215,2025-08-10,1988,435,13,0,1,309.91,0.0,309.91,188.77,121.14
9024,2025-06-08,167,460,4,0,1,405.82,0.0,405.82,223.65,182.17
27646,2025-12-24,3785,431,13,11,1,253.16,35.0,164.55,170.37,-5.82
44811,2025-10-20,1813,9,10,9,1,1414.29,0.0,1414.29,1072.99,341.3
13356,2024-04-02,4880,418,8,2,2,231.9,20.0,371.04,304.8,66.24
33856,2024-03-04,3699,60,3,0,1,590.09,0.0,590.09,451.75,138.34
44650,2025-06-03,4018,261,11,0,1,510.84,0.0,510.84,383.36,127.48
27511,2024-12-02,447,69,5,5,1,201.28,30.0,140.9,123.36,17.54
35565,2025-05-15,3595,349,11,0,1,1009.03,0.0,1009.03,565.9,443.13
49279,2024-03-08,3698,237,5,0,1,2092.82,0.0,2092.82,1529.09,563.73
54780,2024-10-31,275,253,9,0,1,137.66,0.0,137.66,91.34,46.32
4949,2025-03-23,4081,208,14,22,1,1700.79,0.0,1700.79,1132.38,568.41
21395,2025-02-03,424,342,5,0,1,3523.81,0.0,3523.81,2565.29,958.52
14683,2024-12-27,2232,427,8,0,1,296.78,0.0,296.78,193.21,103.57
46394,2024-07-31,3681,426,14,0,2,348.44,0.0,696.88,485.94,210.94
34444,2024-12-27,1446,210,13,0,1,979.84,0.0,979.84,753.71,226.13
30943,2025-02-05,4378,277,6,0,1,4000.69,0.0,4000.69,2407.28,1593.41
19106,2024-07-28,249,272,12,6,1,93.11,35.0,60.52,59.63,0.89
33850,2025-10-27,4329,449,8,0,1,320.51,0.0,320.51,206.18,114.33
54486,2024-06-27,1100,426,13,0,1,355.78,0.0,355.78,242.97,112.81
55343,2025-10-15,1647,342,2,9,1,3933.24,10.0,3539.92,2565.29,974.63
59542,2024-04-30,3830,154,14,0,3,4147.86,0.0,12443.58,9051.42,3392.16
27790,2025-04-29,2578,296,9,0,2,3710.18,0.0,7420.36,5149.7,2270.66
34730,2024-08-14,3300,434,9,0,1,972.17,0.0,972.17,580.81,391.36
59098,2024-04-23,4443,208,4,0,1,1782.38,0.0,1782.38,1132.38,650.0
24535,2024-05-15,4181,388,15,0,1,500.61,0.0,500.61,270.33,230.28
11659,2024-12-05,4752,52,4,5,1,837.16,30.0,586.01,615.07,-29.06
31772,2025-11-22,4501,460,6,10,1,396.07,10.0,356.46,223.65,132.81
10927,2025-10-30,4767,342,7,0,1,3576.08,0.0,3576.08,2565.29,1010.79
7723,2025-03-26,1186,395,9,22,3,1910.47,25.0,4298.56,3608.16,690.4
849,2025-10-22,2911,493,7,0,1,340.27,0.0,340.27,260.43,79.84
18251,2024-10-22,1526,180,5,3,3,5028.61,20.0,12068.66,10865.79,1202.87
278,2025-09-06,1017,458,3,0,3,1441.05,0.0,4323.15,2995.98,1327.17
34578,2025-10-27,4503,342,14,0,2,3815.73,0.0,7631.46,5130.58,2500.88
56356,2025-10-04,4542,127,15,0,1,343.15,0.0,343.15,246.33,96.82
1181,2025-01-22,4767,333,15,0,1,3866.78,0.0,3866.78,2659.84,1206.94
48552,2024-10-23,3332,479,12,26,3,302.16,25.0,679.86,534.03,145.83
52616,2025-04-20,2379,254,13,0,1,560.98,0.0,560.98,445.05,115.93
11062,2024-11-15,1587,344,14,23,1,4598.28,20.0,3678.62,3652.85,25.77
37142,2024-05-13,4082,1,3,0,2,5986.33,0.0,11972.66,6701.6,5271.06
20914,2025-07-16,4657,426,7,29,2,339.94,25.0,509.91,485.94,23.97
55465,2024-09-12,2524,208,12,0,2,1876.01,0.0,3752.02,2264.76,1487.26
21999,2025-07-08,1986,366,5,0,1,2411.74,0.0,2411.74,1543.81,867.93
12267,2024-10-22,1881,231,14,3,1,314.11,20.0,251.29,201.48,49.81
16132,2024-05-17,2531,9,15,0,1,1379.58,0.0,1379.58,1072.99,306.59
54245,2024-01-31,3045,9,2,0,1,1444.24,0.0,1444.24,1072.99,371.25
31444,2024-03-24,4082,142,4,1,1,82.31,10.0,74.08,48.81,25.27
2593,2024-10-27,4322,337,11,0,1,355.62,0.0,355.62,220.75,134.87
12545,2024-12-23,1202,6,11,5,3,4153.2,30.0,8721.72,9701.25,-979.53
7539,2025-04-26,4946,329,6,0,1,79.1,0.0,79.1,60.26,18.84
35595,2025-07-17,3683,426,5,29,1,331.9,25.0,248.92,242.97,5.95
32042,2024-11-23,824,479,7,4,2,321.6,15.0,546.72,356.02,190.7
24590,2024-11-23,4261,253,12,4,1,136.55,15.0,116.07,91.34,24.73
44946,2024-11-04,1336,261,12,0,2,482.7,0.0,965.4,766.72,198.68
28095,2025-10-06,584,9,7,0,1,1255.81,0.0,1255.81,1072.99,182.82
46454,2024-11-23,1597,422,11,4,1,6051.22,15.0,5143.54,4036.84,1106.7
12725,2024-04-28,982,261,14,0,1,557.03,0.0,557.03,383.36,173.67
30822,2024-11-28,451,435,15,4,1,288.9,15.0,245.56,188.77,56.79
28852,2024-12-23,3110,220,14,5,1,4089.1,30.0,2862.37,2373.09,489.28
41898,2025-03-25,210,449,5,22,1,320.51,25.0,240.38,206.18,34.2
34771,2024-09-18,886,3,15,13,2,4862.76,10.0,8752.97,7382.54,1370.43
