id_cliente,recencia,frecuencia,monto,ticket_promedio,categoria_preferida,segmento,nombre_segmento
1,431.0,1,386.52,386.52,Gaming,0,Dormidos / Perdidos
2,651.0,1,11040.52,11040.52,Celulares,0,Dormidos / Perdidos
3,,0,0.0,0.0,,-1,Sin Actividad
4,,0,0.0,0.0,,-1,Sin Actividad
5,3.0,52,84457.63,1624.19,Celulares,2,Campeones
6,95.0,6,11951.43,1991.9,Celulares,1,En riesgo (alto valor)
7,5.0,16,29583.26,1848.95,Laptops,1,En riesgo (alto valor)
8,15.0,6,14775.099999999999,2462.52,Monitores,1,En riesgo (alto valor)
9,,0,0.0,0.0,,-1,Sin Actividad
10,42.0,8,30783.61,3847.95,Laptops,1,En riesgo (alto valor)
11,402.0,2,757.66,378.83,Gaming,0,Dormidos / Perdidos
12,,0,0.0,0.0,,-1,Sin Actividad
13,12.0,8,10883.62,1360.45,Celulares,1,En riesgo (alto valor)
14,,0,0.0,0.0,,-1,Sin Actividad
15,,0,0.0,0.0,,-1,Sin Actividad
16,157.0,6,13654.1,2275.68,Computadoras,1,En riesgo (alto valor)
17,72.0,5,11995.67,2399.13,Celulares,1,En riesgo (alto valor)
18,117.0,7,13021.22,1860.17,Celulares,1,En riesgo (alto valor)
19,,0,0.0,0.0,,-1,Sin Actividad
20,378.0,4,822.83,205.71,Perifericos,0,Dormidos / Perdidos
21,440.0,1,1832.45,1832.45,Celulares,0,Dormidos / Perdidos
22,399.0,3,9615.130000000001,3205.04,Celulares,0,Dormidos / Perdidos
23,584.0,1,3813.76,3813.76,Tablets,0,Dormidos / Perdidos
24,270.0,11,22580.71,2052.79,Celulares,1,En riesgo (alto valor)
25,,0,0.0,0.0,,-1,Sin Actividad
26,,0,0.0,0.0,,-1,Sin Actividad
27,9.0,6,16995.3,2832.55,Celulares,1,En riesgo (alto valor)
28,585.0,2,2043.0500000000002,1021.53,Sin Categoria,0,Dormidos / Perdidos
29,255.0,6,10294.02,1715.67,Computadoras,1,En riesgo (alto valor)
30,2.0,18,39512.56,2195.14,Celulares,1,En riesgo (alto valor)
