id_venta;fecha;id_cliente;id_producto;id_tienda;id_promocion;cantidad;precio_unitario;descuento
17504;2025-10-12;2235;253;13;38.0;3;143.04;20.0
46116;2025-12-25;4031;426;4;;1;346.19;0.0
59784;27 de agosto de 2024;4363;194;8;;2;475.39;0.0
11462;2024-12-19;2934;426;10;5.0;2;313.4;30.0
50030;11/05/2024;1351;46;3;;1;536.19;0.0
39611;16 de mayo de 2025;4503;406;1;;2;2496.84;0.0
57352;2024-11-19;4227;373;11;;1;314.79;0.0
55900;2024-03-28;1783;180;13;;1;5083.54;0.0
40638;03/12/2025;1572;208;9;11.0;2;1689.5;35.0
23240;2025-03-16;2134;208;14;;2;1888.12;0.0
29725;09/12/2024;502;333;9;5.0;1;4357.16;30.0
22518;2 de febrero de 2024;4037;208;7;;1;1861.4;0.0
25316;2024-02-27;2621;435;14;34.0;1;319.05;20.0
31632;19 de octubre de 2025;1949;232;13;9.0;1;703.17;10.0
44183;2024-09-28;4539;435;14;;1;299.0;0.0
40755;23/10/2025;4163;147;13;21.0;1;272.95;10.0
56083;2024-12-17;1743;486;9;5.0;2;200.72;30.0
33595;17/03/2024;6;156;12;;3;382.0;0.0
40885;14 de junio de 2024;4525;153;13;;1;1340.21;0.0
28856;2024-04-20;2071;412;2;;1;130.73;0.0
26057;2025-03-29;3639;426;10;22.0;1;362.57;25.0
36691;17/10/2024;2557;435;5;3.0;1;284.78;20.0
39362;20 de marzo de 2024;4238;417;4;1.0;1;693.0;10.0
12895;5 de noviembre de 2024;1601;435;3;;2;325.11;0.0
52202;2025-12-22;3045;253;5;11.0;1;139.59;35.0
19133;16/12/2025;694;202;15;11.0;1;163.4;35.0
13720;2024-12-26;2766;253;13;;1;130.86;0.0
6436;17/11/2025;3738;191;12;;2;138.91;0.0
23183;08/10/2025;1780;342;6;38.0;1;3501.27;20.0
46787;2024-11-19;2014;342;5;;1;3543.34;0.0
8386;2025-11-09;3395;194;10;;1;445.37;0.0
44935;28 de octubre de 2024;2517;491;7;;1;1182.63;0.0
477;09/10/2025;447;435;13;38.0;2;298.2;20.0
7380;23/11/2024;4858;9;5;4.0;1;1471.88;15.0
7111;2025-10-23;4701;208;5;21.0;1;1733.24;10.0
31555;15/04/2025;1071;360;4;;2;389.32;0.0
40044;07/12/2024;2557;375;2;5.0;1;839.54;30.0
44997;2024-09-08;1601;208;14;;1;1838.16;0.0
47576;05/10/2024;1802;180;4;;2;4647.89;0.0
45450;2024-09-02;2188;460;2;19.0;2;412.18;15.0
56711;2025-12-22;3683;101;13;11.0;2;762.84;
39743;7 de diciembre de 2025;4263;452;13;11.0;1;2103.63;35.0
4266;2024-03-23;2669;349;13;1.0;1;967.47;10.0
55893;14/08/2025;2515;417;9;;1;752.17;0.0
2531;11 de mayo de 2024;2045;180;15;;2;4578.62;0.0
34180;28 de diciembre de 2024;3388;9;10;;1;1353.27;0.0
36226;26/11/2024;473;435;9;4.0;1;296.59;15.0
32846;20/01/2024;2821;332;6;33.0;1;948.6;10.0
30245;2025-04-29;447;426;12;;2;330.48;0.0
59801;30/12/2025;1601;9;13;;1;1332.3;0.0
25832;28/12/2025;4524;153;14;;1;1420.47;0.0
27048;30/11/2024;275;153;12;;1;1564.61;0.0
36141;2024-04-01;1601;194;8;2.0;1;432.25;20.0
11477;2025-05-15;3643;97;15;;2;1253.59;0.0
55834;2025-09-13;2311;452;13;;1;2390.6;0.0
40968;2024-08-20;1970;305;6;;1;693.71;0.0
6921;2025-10-10;3944;429;15;38.0;2;2049.13;20.0
18798;2025-09-30;3172;435;14;28.0;1;326.2;10.0
31476;03/05/2024;3259;99;8;;1;72.71;0.0
49783;22/09/2024;4702;9;4;13.0;2;1447.08;10.0
26007;2024-12-20;2876;46;9;5.0;1;608.11;30.0
49818;2024-02-20;956;208;3;34.0;1;1886.47;20.0
48132;2024-11-06;756;253;11;;2;143.83;0.0
52691;2024-03-01;3361;230;6;;1;253.97;
15745;2025-02-26;3683;426;6;40.0;3;321.52;
7830;2024-05-26;1071;23;13;;2;274.74;0.0
1867;2025-10-22;2909;132;6;;1;224.1;0.0
34348;05/05/2025;1216;97;6;;1;1249.79;0.0
26080;28/07/2025;1027;395;3;12.0;1;2051.69;35.0
21318;2025-03-16;929;208;12;;2;1884.81;0.0
20037;13/02/2024;3705;46;5;;453;588.22;0.0
32811;2024-11-22;1010;111;14;4.0;1;166.73;15.0
11437;18 de diciembre de 2024;4250;429;15;5.0;3;1851.42;30.0
49178;09/07/2024;4478;136;10;24.0;1;210.71;15.0
24578;03/12/2024;3672;90;14;5.0;1;72.13;30.0
38578;01/04/2024;823;9063;9;2.0;1;605.48;20.0
52910;13/12/2024;2728;305;8;5.0;1;704.48;30.0
24881;2024-04-27;3591;90;11;;1;72.92;0.0
33959;2025-08-25;2292;289;6;;1;4921.3;0.0
4022;2024-03-23;801;159;8;1.0;3;4220.9;10.0
51442;2024-01-08;2192;100;4;18.0;2;2594.99;35.0
24831;2025-11-05;3659;388;10;;1;512.08;0.0
37603;29 de enero de 2025;4620;277;15;;1;3902.38;0.0
10884;23/09/2025;2754;201;13;;1;2244.46;0.0
26431;09/02/2024;623;253;8;;1;129.34;0.0
55580;25/01/2025;2517;40;9;;3;853.87;0.0
46533;2024-01-31;3472;9;3;;2;1457.41;0.0
37681;2025-12-25;3443;99;6;;1;77.55;0.0
51553;26/08/2025;3401;97;7;;3;1439.14;0.0
54881;2025-01-18;3051;497;13;;1;1677.23;0.0
34947;10/10/2024;1753;217;9;;2;3250.54;0.0
32905;2025-12-12;1359;329;10;11.0;1;71.83;35.0
9463;2024-10-27;4322;208;3;;1;1895.56;0.0
18989;21/11/2025;4082;3;15;10.0;1;4823.06;10.0
6936;04/08/2025;428;201;13;15.0;1;2098.93;
11672;2025-04-07;1241;162;15;8.0;1;158.7;40.0
13981;28/04/2024;1718;342;12;;1;3981.6;0.0
19662;03/12/2024;1822;342;12;5.0;1;3569.58;30.0
51284;07/09/2024;447;9;15;;1;1256.58;
53418;16 de abril de 2025;2744;208;4;;1;1709.42;0.0
58045;25 de septiembre de 2024;2971;291;13;;1;108.2;0.0
37612;2024-12-21;5000;342;1;5.0;1;4000.41;30.0
28119;10/03/2024;447;9;13;;1;1257.4;0.0
24158;15 de diciembre de 2025;3830;181;14;11.0;1;104.98;35.0
17355;2024-12-25;3039;342;11;;1;3551.39;0.0
42015;2025-03-21;3797;171;7;7.0;2;725.38;25.0
53884;2025-12-02;641;66;3;11.0;1;613.2;35.0
35621;23/03/2024;4081;354;10;1.0;1;3149.94;10.0
37646;08/12/2024;1438;202;6;5.0;1;181.63;30.0
3027;17 de diciembre de 2024;4160;33;10;5.0;1;938.32;30.0
9646;2024-12-04;3955;171;15;5.0;2;704.38;30.0
29181;31/12/2024;3256;465;15;;1;129.59;0.0
30971;02/09/2024;2554;208;13;19.0;1;1929.24;15.0
7570;2025-01-19;1867;50;7;;2;5516.03;0.0
